NaN,1004,1010,1020,980,1030,936,883,834,NaN,NaN
1027,968,1025,939,988,1048,1046,964,864,773,659
897,NaN,950,906,942,NaN,921,978,969,945,811
986,1049,NaN,NaN,1014,958,934,924,915,873,NaN
NaN,984,971,942,1045,980,984,962,880,849,NaN
1140,1010,1005,NaN,NaN,975,NaN,NaN,NaN,865,NaN
NaN,NaN,NaN,NaN,NaN,870,1024,NaN,NaN,NaN,NaN
NaN,1126,1192,1186,1206,1140,1146,944,853,NaN,NaN
1263,1075,1275,1140,1054,1053,1162,1000,878,795,NaN
1108,NaN,1035,1027,1111,NaN,1098,1075,1072,1135,NaN
1141,1182,NaN,NaN,1156,964,1068,942,1070,928,NaN
NaN,1003,989,1089,1155,1058,1068,1104,956,948,NaN
1215,1109,1132,NaN,NaN,1116,NaN,NaN,NaN,900,NaN
1070,1093,NaN,NaN,NaN,1014,NaN,NaN,NaN,993,NaN
NaN,1414,1403,1393,1512,1551,1527,1027,1283,NaN,NaN
1511,1367,1502,1391,1256,1338,1387,1337,1066,936,826
1159,NaN,1119,1257,1257,NaN,1295,1263,1407,1203,898
1385,1353,NaN,NaN,1316,1284,1210,1101,1142,1009,NaN
NaN,1179,1278,1303,1387,1162,1202,1252,1027,1072,1009
1529,1397,1563,NaN,NaN,1292,NaN,NaN,NaN,1019,NaN
NaN,1379,NaN,NaN,NaN,1173,NaN,NaN,NaN,1418,NaN
NaN,1628,1600,1627,1753,1881,1668,1085,1470,NaN,NaN
1699,1544,1744,1638,1437,1622,1476,1252,1167,1181,835
1778,NaN,1203,1470,1433,NaN,1351,1366,1633,1381,961
1577,1682,NaN,NaN,1539,1410,1396,1289,1330,1146,986
NaN,1507,1358,1593,1675,1372,1459,1399,1200,1208,1023
1876,1790,1874,NaN,NaN,1509,NaN,NaN,NaN,1341,NaN
NaN,NaN,NaN,NaN,NaN,1215,NaN,NaN,NaN,1627,NaN
NaN,1914,1945,2194,2146,2127,1939,1326,1663,NaN,NaN
1975,2109,2109,1746,1797,1924,1678,1654,1566,1355,933
2264,NaN,1470,1616,1745,NaN,1683,1571,1856,1573,980
1953,2021,NaN,NaN,1936,1851,1576,1484,1470,1593,1016
NaN,1954,1515,1837,1925,1540,1704,1762,1271,1414,1155
2283,2108,2156,NaN,NaN,2101,NaN,NaN,NaN,1507,1166
NaN,NaN,NaN,NaN,NaN,1424,NaN,NaN,NaN,1832,1101
NaN,2242,2134,2706,2565,2642,2488,2176,2080,NaN,NaN
2380,2535,2660,2182,1789,2488,1965,2525,1776,1588,991
2776,NaN,2412,2144,2248,NaN,2111,1947,2124,1815,1105
2367,2363,NaN,NaN,2311,2014,1902,1727,1915,1774,1174
NaN,2098,1935,2146,2330,1729,1962,2171,1577,1896,1151
2794,2450,2658,NaN,NaN,2529,NaN,NaN,NaN,1754,1283
2922,2711,NaN,NaN,NaN,1682,NaN,NaN,NaN,2164,1193
NaN,2681,2758,2955,2851,3006,2942,2589,2311,1718,NaN
2915,3053,3006,2972,2404,2540,3303,2907,2237,1739,1126
3182,NaN,2799,2264,2467,NaN,3167,2111,2693,2127,1193
2810,3086,NaN,NaN,2675,2161,2298,2067,2604,2134,1312
NaN,2266,2350,3138,2801,2098,2605,2362,2273,2164,1293
2994,2721,3207,NaN,NaN,3052,NaN,NaN,NaN,2138,1397
3352,3356,NaN,NaN,NaN,1887,2984,NaN,NaN,2505,1262
NaN,3313,3235,3598,3637,3675,3689,2986,2776,1981,NaN
3569,3611,3863,3786,3634,3525,3936,3660,2607,2115,1188
3988,NaN,3577,3610,3078,NaN,3773,2537,3077,2653,1342
3352,3852,NaN,NaN,3416,3045,2605,2458,3071,2562,1330
NaN,2993,2615,3272,3448,2541,2793,2958,2703,2517,1451
4076,3743,3698,NaN,NaN,3690,NaN,NaN,NaN,2383,1577
3959,4142,NaN,NaN,NaN,2717,3412,NaN,NaN,2972,1374
NaN,3803,3920,4441,4439,4737,4220,3866,3477,2371,NaN
4558,4636,4731,4367,4389,4695,4805,4468,3017,2417,1374
4835,NaN,4375,4218,3662,NaN,4614,3204,3668,2878,1547
4105,4307,NaN,NaN,3549,4382,3933,3611,3777,2868,1592
NaN,4270,3024,4014,4178,3280,4800,3639,3153,3027,1705
4550,4417,4507,NaN,NaN,4379,NaN,NaN,NaN,2913,1657
4805,4853,NaN,NaN,NaN,2980,4363,NaN,NaN,3626,1586
NaN,5389,4456,5057,5501,5435,5691,4610,4099,2969,NaN
5818,5541,6264,5420,5296,5497,5539,5231,3814,2924,1517
5582,NaN,5012,5162,4341,NaN,5311,4646,4650,3636,1711
5009,5479,NaN,NaN,5086,5526,4818,4007,4659,3792,1930
NaN,4768,4042,4777,5062,5331,5212,5312,3900,3528,1880
5941,5468,5292,NaN,NaN,5097,NaN,NaN,NaN,3545,2084
5510,5715,NaN,NaN,NaN,3042,5181,NaN,NaN,4154,1785
NaN,6566,6737,6392,6733,6595,6926,5151,4566,3549,NaN
7053,6814,7725,6875,6015,6760,7178,6248,4489,3413,1829
6688,NaN,6516,6473,6567,NaN,6992,5093,5309,4203,2215
5818,6497,NaN,NaN,6353,6852,5790,5139,5230,4004,2216
NaN,6307,6925,5458,7099,6344,5912,6275,4749,4235,2279
6849,6644,6343,NaN,NaN,5899,NaN,NaN,NaN,4348,2444
7042,6927,NaN,NaN,NaN,4399,5870,NaN,NaN,5151,1991
NaN,7497,8244,7547,7535,8238,7293,6369,5246,3668,NaN
8673,7912,8975,7732,7746,7455,8564,7013,5236,4200,2087
7477,NaN,8030,7582,8046,NaN,7970,6671,6734,4588,2397
6639,7829,NaN,NaN,7145,7927,6547,5885,5938,5089,2495
NaN,6988,8173,7342,8312,7678,7365,7197,5537,5238,2503
7761,7473,7694,NaN,NaN,7096,NaN,NaN,NaN,4865,2762
7765,8378,NaN,NaN,NaN,7020,6601,NaN,NaN,6010,2403
NaN,9138,10414,8017,8811,9046,8686,7453,6516,4844,NaN
10031,9587,10412,9702,9244,7200,9510,8673,5961,4811,2543
8268,NaN,7581,8710,9009,NaN,9262,8104,7804,6080,3152
8215,8709,NaN,NaN,8867,9603,8035,7321,7561,6034,2932
NaN,8600,8554,7827,8865,7552,8261,9005,6941,6221,2811
9210,9459,9085,NaN,NaN,7424,NaN,NaN,NaN,5862,3339
8838,9133,NaN,NaN,NaN,8561,9277,NaN,NaN,6995,2659
NaN,10647,10968,10493,11326,10663,9955,8524,6670,4891,NaN
10843,11377,12151,11131,10683,10295,9928,10400,6701,6141,2935
11722,NaN,10891,10026,10572,NaN,10483,9493,7672,6502,3516
9127,8772,NaN,NaN,9775,10571,8909,8824,8657,7413,3644
NaN,10194,9421,9533,10359,10140,11350,9647,7721,7026,3702
9780,9704,9056,NaN,NaN,9400,NaN,NaN,NaN,6700,4155
10386,10801,NaN,NaN,NaN,9939,11431,NaN,NaN,8310,3451
