1278,1092,1044,1011,1077,1025,1104,1048,983,873,865
1176,1084,1158,1034,971,989,954,1002,903,887,899
1235,1142,1089,1119,1082,1069,1108,1020,939,922,924
1074,1184,1133,1047,948,1004,1236,934,918,890,982
1070,1091,1120,1205,1105,1086,1021,909,915,989,784
1294,1119,1264,1112,1087,1141,1011,961,899,855,840
1136,1179,1212,1133,1267,1115,1034,1028,1004,995,827
NaN,NaN,NaN,1105,1025,1107,1108,1043,974,887,854
NaN,NaN,1109,1148,1175,1074,1082,986,920,843,852
NaN,NaN,1117,1109,1185,1143,1088,927,1000,955,829
NaN,NaN,995,1173,1100,1283,1139,873,905,1034,894
1185,1135,1148,1134,1176,1031,1111,936,1000,789,906
1186,1273,1226,1297,1203,1067,1087,957,1105,949,918
1063,1080,NaN,1194,1205,1161,NaN,935,1186,893,1013
1184,1165,1234,1165,1166,1133,1127,1098,1024,1038,904
1290,1133,1208,1086,1026,1025,1019,978,941,904,874
1295,1321,1325,1173,1178,1359,1313,1055,1062,910,854
1231,1204,1268,1284,1108,1331,1323,932,981,934,965
1364,1168,1198,1344,1211,1174,1120,974,891,1009,856
1336,1220,1363,1185,1321,1224,1036,1014,946,880,859
1303,1346,1331,1296,1327,1212,1120,1189,1033,890,798
NaN,NaN,NaN,1255,1158,1279,1096,1041,1047,901,891
NaN,NaN,1246,1330,1252,1159,1251,1135,974,881,886
NaN,NaN,1296,1211,1299,1206,1279,1272,1049,943,799
NaN,NaN,1165,1350,1269,1364,1279,884,981,987,872
1486,1237,1327,1365,1282,1231,1272,1144,1051,915,890
1346,1516,1326,1289,1405,1208,1229,1035,1189,1022,943
1357,1198,NaN,1460,1513,1292,NaN,1131,1205,884,1029
1707,1456,1388,1303,1422,1442,1270,1222,1170,1088,905
1505,1263,1454,1283,1269,1169,1097,1061,1040,917,840
1680,1353,1451,1443,1442,1696,1580,1080,1203,922,896
1517,1576,1543,1448,1331,1542,1520,1246,1000,974,961
1481,1494,1534,1475,1483,1323,1333,1178,925,1020,773
1660,1503,1598,1442,1487,1430,1263,1356,946,865,805
1523,1687,1568,1549,1494,1339,1234,1372,1160,949,830
NaN,NaN,NaN,1476,1370,1561,1307,1246,1103,975,844
NaN,NaN,1527,1592,1457,1452,1422,1288,972,819,877
NaN,NaN,1522,1384,1578,1407,1514,1367,1098,1005,909
NaN,NaN,1376,1544,1509,1624,1428,1063,1070,1128,918
1804,1610,1579,1588,1496,1453,1437,1508,1181,1045,905
1560,1966,1497,1755,1672,1429,1553,1282,1312,1139,1011
1582,1449,NaN,1695,1699,1731,NaN,1221,1168,1056,1060
1993,1861,1757,1823,1849,1804,1615,1475,1271,1220,917
1823,1591,1736,1565,1391,1344,1349,1144,1413,1041,897
1953,1764,1793,1861,1803,2079,1863,1247,1424,1020,918
1812,1956,1877,1782,1820,1856,1833,1526,1191,1121,1079
1845,1825,1844,1882,1761,1661,1666,1432,1138,1194,867
2017,1807,1845,1813,1896,1672,1435,1713,1151,993,860
1887,1926,1945,1901,1847,1745,1533,1608,1253,1254,849
NaN,NaN,NaN,1887,1709,1740,1552,1489,1325,1149,908
NaN,NaN,1814,1894,1825,1772,1692,1459,1143,1035,964
NaN,NaN,2031,1687,1800,1686,1889,1515,1321,1195,915
NaN,NaN,1738,1886,1966,1945,1697,1471,1256,1185,987
2080,2015,2007,1987,1850,1793,1745,1538,1361,1150,1015
1885,2215,2023,2028,2061,1651,1816,1464,1473,1282,1129
1884,1849,NaN,2037,1968,1892,NaN,1479,1455,1083,1211
2402,2125,2209,2173,2162,2026,1952,1730,1543,1441,1267
2212,1759,2265,1798,1762,1550,1505,1391,1622,1210,962
2321,2153,2041,2182,2124,2354,2208,1411,1667,1315,1023
2189,2258,2232,2100,2107,2108,2163,1753,1359,1196,1122
2202,2200,2187,2149,2060,2011,2041,1749,1222,1513,951
2394,2188,2395,2190,2237,1940,1729,2054,1235,1214,958
2226,2362,2308,2273,2242,1997,1714,1853,1526,1497,966
NaN,NaN,NaN,2224,2012,2063,1756,1722,1466,1222,1095
NaN,NaN,2257,2360,2104,1975,1965,1739,1374,1158,1120
NaN,NaN,2393,2027,2145,2008,2064,1767,1535,1455,1024
NaN,NaN,2155,2327,2175,2378,1937,1793,1402,1320,1047
2618,2249,2386,2338,2223,2111,2024,1826,1492,1449,1158
2266,2521,2315,2328,2336,2048,2191,1778,1574,1529,1267
2385,2216,NaN,2420,2337,2221,NaN,1640,1724,1289,1334
2918,2711,2701,2697,2577,2466,2448,1779,1797,1599,1438
2639,2331,2885,1950,2191,1795,1892,1591,1867,1355,1226
2925,2985,2652,2698,2534,2806,2537,1909,1874,1561,1139
2714,2700,2543,2685,2520,2618,2570,2032,1594,1600,1231
2831,2616,2747,2592,2436,2653,2269,1995,1639,1786,949
2736,2478,2812,2630,2559,2504,2318,2400,1495,1368,1058
2760,2927,2844,2817,2601,2576,2330,2054,1798,1691,1105
NaN,NaN,NaN,2782,2250,2551,2151,2090,1786,1664,1120
NaN,NaN,2861,2838,2458,2323,2434,2046,1645,1328,1221
NaN,NaN,2899,2540,2614,2511,2474,2201,1711,1768,1182
NaN,NaN,2612,2936,2625,3001,2306,1995,1676,1423,1206
3279,2899,2962,2950,2722,2599,2358,2253,1759,1602,1235
2688,2732,2932,2990,2525,2513,2612,2214,1974,1761,1449
2630,3057,NaN,2930,2962,2747,NaN,1865,1723,1579,1431
3574,3511,3355,3223,3129,3059,3099,2172,2203,1936,1657
3236,2602,3593,2601,2770,2671,2117,1897,2256,1793,1520
3366,3752,2753,3364,3005,3390,3074,2435,2350,1840,1466
3184,3393,3297,3369,3083,3064,3046,2510,1949,2001,1389
3471,3206,3307,3040,2795,3275,2878,2465,2197,2223,1107
3631,3297,3308,3016,3420,3168,2908,3045,1784,1712,1172
3296,3639,3350,3471,3123,3174,2723,2540,2315,2004,1292
NaN,NaN,NaN,3237,2781,3237,2515,2483,2175,2062,1199
NaN,NaN,3377,3476,2962,2871,2762,2456,1940,1694,1305
NaN,NaN,3666,3085,3108,3103,2972,2394,2241,2118,1344
NaN,NaN,2981,3539,3124,3389,2825,2303,1932,1845,1310
3675,3378,3621,3368,3181,3144,2926,2510,1698,1816,1549
3396,3914,3586,3461,3343,3137,3246,2528,2395,2057,1673
3678,2981,NaN,3587,3246,3169,NaN,2279,2232,1750,1639
4353,4283,3826,3832,3556,3726,3642,2605,2408,2326,1879
3947,3197,4267,3180,3402,3251,2462,2589,2651,2087,1684
4066,4380,3414,3904,3481,3867,3772,3153,2927,2183,1654
3691,4164,4257,4192,3531,3435,3555,2854,2400,2496,1579
3976,3915,4075,3895,3328,3643,3222,2835,2692,2580,1444
3943,3582,3718,3615,4009,3852,3230,3508,2075,2029,1287
4006,4392,3839,4039,3970,3777,3394,2906,2942,2346,1443
NaN,NaN,NaN,3858,3264,3829,2966,2868,2830,2394,1448
NaN,NaN,4012,4119,3652,3278,3288,2866,2350,1956,1581
NaN,NaN,4368,3598,3637,3345,3511,2913,2592,2495,1757
NaN,NaN,3694,4154,3743,4109,3094,2575,2374,2086,1482
4276,4420,4340,4029,3587,3809,3486,3003,2489,2263,1772
3690,4109,4070,4186,4116,3710,3697,3174,2954,2599,1926
3836,4277,NaN,4119,3873,3440,NaN,2544,2570,2278,1834
4835,5189,4807,4667,4218,4262,4269,3069,2900,2579,1837
5020,3838,5216,4348,3988,3372,2538,3118,3009,2709,1885
5018,5367,4635,4733,4225,3887,4312,3776,3323,2573,1998
4626,5154,5467,4859,4334,4238,4150,3368,2696,2940,1595
5268,5174,4825,5010,4509,4095,3844,3519,3044,3068,1794
5259,4822,4698,4556,4999,4398,4071,4076,2524,2427,1428
5002,4701,5243,5110,5094,4394,3939,3558,3614,2871,1716
NaN,NaN,NaN,4765,3951,4347,3919,3557,3464,2939,1690
NaN,NaN,4779,4789,4805,3934,3951,3261,2820,2427,1636
NaN,NaN,5128,4397,4368,4259,4008,3219,3098,3032,1883
NaN,NaN,4229,4955,4477,5012,3765,3470,2790,2633,1603
4913,5093,5554,5190,4850,4465,4221,3598,3044,2713,1916
4778,5034,5198,4886,5001,4422,4490,3592,3530,3108,2200
4828,4116,NaN,5062,4781,4380,NaN,3258,2964,2736,2063
6117,6294,5578,5471,5395,5072,4799,3427,3559,3044,2222
5730,4575,6209,5054,4576,4553,3536,4067,3603,3268,2038
6150,6655,5958,5716,5010,5205,5169,4454,3992,3229,2320
6484,6136,6537,6096,5164,5094,4968,4172,3308,3710,1960
6135,6733,5905,6485,5585,4865,4437,4087,3859,3593,2033
6247,5875,5132,5423,5684,5490,5007,5007,3251,3129,1571
6355,6464,6700,6650,6265,5528,4597,4534,4472,3585,1912
NaN,NaN,NaN,5941,5052,4805,4610,3468,4102,3601,1996
NaN,NaN,6100,6097,5805,4630,4803,4315,3603,3266,2126
NaN,NaN,5834,5164,4993,4872,5089,4219,3979,3492,2311
NaN,NaN,5547,6092,5543,6031,4413,3951,3600,3143,1970
6150,6156,6268,5876,5579,4932,4972,4275,3354,3179,2230
5376,5004,6112,4940,5731,5123,4699,4409,4327,3491,2380
5910,5231,NaN,5812,5270,5779,NaN,3448,3849,3584,2337
7344,7439,6035,6330,6054,5615,5773,3820,4209,3806,2417
7038,5492,7051,6620,5604,4870,3868,4734,4256,3835,2433
8761,7630,7664,6297,5637,6318,5937,5256,4872,3843,2682
8326,7864,7928,7263,5558,5891,5363,4981,4142,4335,2328
6936,8632,7348,7602,6661,6019,5088,4864,4645,4207,2496
7628,7911,7840,6129,7061,6012,5284,5768,4350,3758,2018
7545,8693,8383,8014,7598,6143,4777,5493,5485,4081,2080
NaN,NaN,NaN,7225,6508,6348,5674,4821,5143,4039,2488
NaN,NaN,7072,7121,6761,5714,6224,5356,4415,3450,2457
NaN,NaN,6857,6642,6210,5968,5730,5776,5092,4217,2713
NaN,NaN,5794,6464,6258,6901,5903,4663,4392,3472,2397
6388,7292,7561,7031,5352,5167,5652,5573,4851,4291,2849
6036,7600,7027,6806,5632,6044,6101,5072,5194,4018,2794
6725,5729,NaN,6434,5590,6758,NaN,4337,4141,4243,2647
9813,8429,7521,7552,6919,6941,6999,5127,5117,4272,2959
8626,6272,8650,6653,6651,6229,5303,5163,4978,4674,2704
10015,9054,8739,7475,6887,7648,7086,6433,5762,4433,3042
10429,9706,9102,8641,7037,6355,7028,6214,4789,4917,2709
9253,10299,9303,9357,7964,7080,6460,6115,5380,5293,2550
10334,9776,9306,6747,8362,7135,6455,6925,4789,4869,2646
8960,10624,9907,9381,9008,7784,6679,6479,6554,5130,2323
NaN,NaN,NaN,9361,8423,7374,7070,6604,5957,4936,2855
NaN,NaN,7442,8197,8149,7998,7812,7322,5446,4546,2734
NaN,NaN,8293,7433,6998,7083,6718,6459,5461,5451,2914
NaN,NaN,7614,7370,7369,8468,7810,5632,4802,4899,2785
7306,6999,7961,7989,6781,6738,7027,6203,5725,4528,3260
7222,7737,7779,8626,7199,6585,7945,5232,6650,5125,3529
8117,7391,NaN,7750,6592,6844,NaN,5449,4080,4731,3233
12610,9906,7750,8308,7596,7940,7730,5631,5527,4856,3301
9625,7707,9590,8709,6932,7025,6190,6183,5330,5356,3003
11838,10189,9509,8407,7459,8525,7491,7163,6191,5116,3238
12079,12070,10893,9590,8542,7551,7919,7223,4872,5441,2981
10721,11381,9382,10800,9204,6736,7495,6859,6304,5723,3088
12031,11530,10761,7276,10194,8990,8001,7886,5786,5387,2990
11212,12545,11636,11190,11116,9008,7274,7288,7169,5882,2888
NaN,NaN,NaN,10461,9203,8422,8127,8217,6766,6174,3157
NaN,NaN,9652,10781,9752,9103,9146,8749,6839,4663,3018
NaN,NaN,9527,9737,10455,10141,7643,8883,6277,6147,3336
NaN,NaN,9525,10192,8791,10139,9219,9285,5944,5974,3478
8932,9743,9003,9263,9083,7624,9612,8572,6904,6027,3847
6310,10778,7553,10348,8024,7958,9881,7565,7127,6741,3908
10348,9097,NaN,10380,9247,9433,NaN,5691,6008,4681,4164
13297,10367,8571,9698,8500,9266,8102,6679,6251,5788,3768
11853,9980,10286,9423,8557,8418,7942,7274,5753,5926,3501
13117,11832,11426,9812,8621,9088,8905,8618,7091,5615,4137
12872,11906,12026,11271,9239,9089,9010,7774,6622,5905,3637
13633,12963,13168,11403,10792,9197,8531,8250,7135,6853,3781
14531,13488,13930,12272,10925,8911,8312,8958,7526,5987,3434
12718,13167,12031,12517,13066,8821,8066,8796,8128,6074,3262
NaN,NaN,NaN,12052,11322,10711,9126,10422,8090,6947,3545
NaN,NaN,12051,11549,9035,10799,10876,10585,7464,5917,3998
NaN,NaN,11132,10051,12384,11270,11211,9769,8716,7011,3988
NaN,NaN,13029,12573,9813,13398,10817,9613,8183,7262,4169
10141,11535,10661,10934,8849,9483,11279,9905,8592,7557,4516
9349,11215,9276,12003,10764,10380,10836,9202,10280,8004,4833
10766,12961,NaN,12141,10776,10854,NaN,7413,9250,5822,4816
